min_pullback,hard_stop,cooldown_bars,std_pct_filter,period,0
0.01,0.05,3,0.015,10,0.6041738480783551
0.01,0.05,3,0.015,20,0.6041738480783551
0.01,0.05,3,0.015,30,0.6041738480783551
0.01,0.05,3,0.015,40,0.6041738480783551
0.01,0.05,3,0.015,50,0.6041738480783551
0.01,0.05,3,0.015,60,0.6041738480783551
0.01,0.05,3,0.015,70,0.6041738480783551
0.01,0.05,3,0.015,80,0.6041738480783551
0.01,0.05,3,0.015,90,0.6041738480783551
0.01,0.05,3,0.02,10,0.8751156573951511
0.01,0.05,3,0.02,20,0.8751156573951511
0.01,0.05,3,0.02,30,0.8751156573951511
0.01,0.05,3,0.02,40,0.8751156573951511
0.01,0.05,3,0.02,50,0.8751156573951511
0.01,0.05,3,0.02,60,0.8751156573951511
0.01,0.05,3,0.02,70,0.8751156573951511
0.01,0.05,3,0.02,80,0.8751156573951511
0.01,0.05,3,0.02,90,0.8751156573951511
0.01,0.05,3,0.025,10,0.44356492507824696
0.01,0.05,3,0.025,20,0.44356492507824696
0.01,0.05,3,0.025,30,0.44356492507824696
0.01,0.05,3,0.025,40,0.44356492507824696
0.01,0.05,3,0.025,50,0.44356492507824696
0.01,0.05,3,0.025,60,0.44356492507824696
0.01,0.05,3,0.025,70,0.44356492507824696
0.01,0.05,3,0.025,80,0.44356492507824696
0.01,0.05,3,0.025,90,0.44356492507824696
0.01,0.05,3,0.030000000000000002,10,0.35842261353384886
0.01,0.05,3,0.030000000000000002,20,0.35842261353384886
0.01,0.05,3,0.030000000000000002,30,0.35842261353384886
0.01,0.05,3,0.030000000000000002,40,0.35842261353384886
0.01,0.05,3,0.030000000000000002,50,0.35842261353384886
0.01,0.05,3,0.030000000000000002,60,0.35842261353384886
0.01,0.05,3,0.030000000000000002,70,0.35842261353384886
0.01,0.05,3,0.030000000000000002,80,0.35842261353384886
0.01,0.05,3,0.030000000000000002,90,0.35842261353384886
0.01,0.05,3,0.035,10,0.7783397556462704
0.01,0.05,3,0.035,20,0.7783397556462704
0.01,0.05,3,0.035,30,0.7783397556462704
0.01,0.05,3,0.035,40,0.7783397556462704
0.01,0.05,3,0.035,50,0.7783397556462704
0.01,0.05,3,0.035,60,0.7783397556462704
0.01,0.05,3,0.035,70,0.7783397556462704
0.01,0.05,3,0.035,80,0.7783397556462704
0.01,0.05,3,0.035,90,0.7783397556462704
0.01,0.05,3,0.04000000000000001,10,3.0835549258730275
0.01,0.05,3,0.04000000000000001,20,3.0835549258730275
0.01,0.05,3,0.04000000000000001,30,3.0835549258730275
0.01,0.05,3,0.04000000000000001,40,3.0835549258730275
0.01,0.05,3,0.04000000000000001,50,3.0835549258730275
0.01,0.05,3,0.04000000000000001,60,3.0835549258730275
0.01,0.05,3,0.04000000000000001,70,3.0835549258730275
0.01,0.05,3,0.04000000000000001,80,3.0835549258730275
0.01,0.05,3,0.04000000000000001,90,3.0835549258730275
0.01,0.05,3,0.045000000000000005,10,3.0006710383653585
0.01,0.05,3,0.045000000000000005,20,3.0006710383653585
0.01,0.05,3,0.045000000000000005,30,3.0006710383653585
0.01,0.05,3,0.045000000000000005,40,3.0006710383653585
0.01,0.05,3,0.045000000000000005,50,3.0006710383653585
0.01,0.05,3,0.045000000000000005,60,3.0006710383653585
0.01,0.05,3,0.045000000000000005,70,3.0006710383653585
0.01,0.05,3,0.045000000000000005,80,3.0006710383653585
0.01,0.05,3,0.045000000000000005,90,3.0006710383653585
0.01,0.05,3,0.05,10,5.155540292168289
0.01,0.05,3,0.05,20,5.155540292168289
0.01,0.05,3,0.05,30,5.155540292168289
0.01,0.05,3,0.05,40,5.155540292168289
0.01,0.05,3,0.05,50,5.155540292168289
0.01,0.05,3,0.05,60,5.155540292168289
0.01,0.05,3,0.05,70,5.155540292168289
0.01,0.05,3,0.05,80,5.155540292168289
0.01,0.05,3,0.05,90,5.155540292168289
0.01,0.05,4,0.015,10,0.3554514920920059
0.01,0.05,4,0.015,20,0.3554514920920059
0.01,0.05,4,0.015,30,0.3554514920920059
0.01,0.05,4,0.015,40,0.3554514920920059
0.01,0.05,4,0.015,50,0.3554514920920059
0.01,0.05,4,0.015,60,0.3554514920920059
0.01,0.05,4,0.015,70,0.3554514920920059
0.01,0.05,4,0.015,80,0.3554514920920059
0.01,0.05,4,0.015,90,0.3554514920920059
0.01,0.05,4,0.02,10,0.6110364165242124
0.01,0.05,4,0.02,20,0.6110364165242124
0.01,0.05,4,0.02,30,0.6110364165242124
0.01,0.05,4,0.02,40,0.6110364165242124
0.01,0.05,4,0.02,50,0.6110364165242124
0.01,0.05,4,0.02,60,0.6110364165242124
0.01,0.05,4,0.02,70,0.6110364165242124
0.01,0.05,4,0.02,80,0.6110364165242124
0.01,0.05,4,0.02,90,0.6110364165242124
0.01,0.05,4,0.025,10,0.22520652524984863
0.01,0.05,4,0.025,20,0.22520652524984863
0.01,0.05,4,0.025,30,0.22520652524984863
0.01,0.05,4,0.025,40,0.22520652524984863
0.01,0.05,4,0.025,50,0.22520652524984863
0.01,0.05,4,0.025,60,0.22520652524984863
0.01,0.05,4,0.025,70,0.22520652524984863
0.01,0.05,4,0.025,80,0.22520652524984863
0.01,0.05,4,0.025,90,0.22520652524984863
0.01,0.05,4,0.030000000000000002,10,0.1829231707635243
0.01,0.05,4,0.030000000000000002,20,0.1829231707635243
0.01,0.05,4,0.030000000000000002,30,0.1829231707635243
0.01,0.05,4,0.030000000000000002,40,0.1829231707635243
0.01,0.05,4,0.030000000000000002,50,0.1829231707635243
0.01,0.05,4,0.030000000000000002,60,0.1829231707635243
0.01,0.05,4,0.030000000000000002,70,0.1829231707635243
