2026-04-26 13:28:55,001 | INFO | TConnector | ✅ TConnector инициализирован. Готов сосать... то есть, работать с Tinkoff API.
2026-04-26 13:28:55,004 | INFO | TConnector | 🔄 Принудительное обновление кэша...
2026-04-26 13:28:55,004 | INFO | TConnector | 📦 Загрузка реестра инструментов из Tinkoff API...
2026-04-26 13:28:59,416 | INFO | TConnector | Загрузка индикативов...
2026-04-26 13:28:59,497 | INFO | TConnector | Индикативы: 73 инструментов
2026-04-26 13:28:59,499 | INFO | TConnector | ✅ Всего загружено: 4210 инструментов
2026-04-26 13:28:59,501 | INFO | TConnector | ✅ Кэш обновлен: 4206 инструментов
2026-04-26 13:28:59,502 | INFO | TConnector | ✅ Найден UID для MDMG: 0d53d29a-3794-41c6-ba72-556d46bacb46
2026-04-26 13:28:59,503 | INFO | TConnector | 🆕 Полная загрузка: глубина 1825 дн. (параметр)
2026-04-26 13:28:59,797 | INFO | TConnector | 📥 Кусок [04-27 13:28 - 04-27 13:28]: 235 свечей. Всего: 235
2026-04-26 13:29:00,430 | INFO | TConnector | 📥 Кусок [04-27 13:28 - 04-27 13:28]: 253 свечей. Всего: 488
2026-04-26 13:29:01,073 | INFO | TConnector | 📥 Кусок [04-27 13:28 - 04-26 13:28]: 255 свечей. Всего: 743
2026-04-26 13:29:01,554 | INFO | TConnector | 📥 Кусок [04-26 13:28 - 04-26 13:28]: 247 свечей. Всего: 990
2026-04-26 13:29:02,065 | INFO | TConnector | 📥 Кусок [04-26 13:28 - 04-26 13:28]: 329 свечей. Всего: 1319
2026-04-26 13:29:02,266 | INFO | TConnector | ✅ Загрузка для MDMG завершена. Всего: 1319 свечей
2026-04-26 15:21:38,370 | INFO | TConnector | 🔄 Принудительное обновление кэша...
2026-04-26 15:21:38,371 | INFO | TConnector | 📦 Загрузка реестра инструментов из Tinkoff API...
2026-04-26 15:21:43,787 | INFO | TConnector | Загрузка индикативов...
2026-04-26 15:21:43,937 | INFO | TConnector | Индикативы: 73 инструментов
2026-04-26 15:21:43,940 | INFO | TConnector | ✅ Всего загружено: 4210 инструментов
2026-04-26 15:21:43,953 | INFO | TConnector | ✅ Кэш обновлен: 4206 инструментов
2026-04-26 15:21:43,954 | INFO | TConnector | ✅ Найден UID для SBER: e6123145-9665-43e0-8413-cd61b8aa9b13
2026-04-26 15:21:43,957 | INFO | TConnector | 🆕 Полная загрузка: глубина 1825 дн. (параметр)
2026-04-26 15:21:44,296 | INFO | TConnector | 📥 Кусок [04-27 15:21 - 04-27 15:21]: 239 свечей. Всего: 239
2026-04-26 15:21:44,961 | INFO | TConnector | 📥 Кусок [04-27 15:21 - 04-27 15:21]: 253 свечей. Всего: 492
2026-04-26 15:21:45,555 | INFO | TConnector | 📥 Кусок [04-27 15:21 - 04-26 15:21]: 255 свечей. Всего: 747
2026-04-26 15:21:46,267 | INFO | TConnector | 📥 Кусок [04-26 15:21 - 04-26 15:21]: 267 свечей. Всего: 1014
2026-04-26 15:21:46,814 | INFO | TConnector | 📥 Кусок [04-26 15:21 - 04-26 15:21]: 331 свечей. Всего: 1345
2026-04-26 15:21:47,015 | INFO | TConnector | ✅ Загрузка для SBER завершена. Всего: 1345 свечей
2026-04-26 15:23:01,463 | INFO | TConnector | 🆕 Полная загрузка: глубина 1825 дн. (параметр)
2026-04-26 15:23:01,590 | INFO | TConnector | 📥 Кусок [04-27 15:23 - 04-27 15:23]: 239 свечей. Всего: 239
